City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Saldanha,ZA,65.88,clear sky,-33.0117,17.9442,Blue Bay Lodge
4,Rikitea,PF,79.21,clear sky,-23.1203,-134.9692,People ThankYou
14,Labuhan,ID,78.62,scattered clouds,-6.8844,112.2051,DoubleFAG
16,Port Elizabeth,ZA,65.32,clear sky,-33.918,25.5701,39 On Nile Guest House
19,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Atuona,PF,78.71,scattered clouds,-9.8,-139.0333,Villa Enata
27,Chuy,UY,67.37,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
28,Sambava,MG,74.79,broken clouds,-14.2667,50.1667,Melrose
34,Tucurui,BR,75.07,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
35,Tottori,JP,73.47,few clouds,35.5,134.2333,Hotel Monarque Tottori
40,Saint George,US,76.62,haze,37.1041,-113.5841,Best Western Plus Abbey Inn
41,Oussouye,SN,71.78,clear sky,12.485,-16.5469,Auberge du Routard
42,Hermanus,ZA,66.97,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
43,Arraial Do Cabo,BR,77.13,clear sky,-22.9661,-42.0278,Pousada Porto Praia
45,Sao Filipe,CV,71.49,broken clouds,14.8961,-24.4956,Hotel Xaguate
47,Imbituba,BR,72.82,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
50,Hongjiang,CN,73.11,scattered clouds,27.11,109.9956,洪江大酒店
52,Pisco,PE,66.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
56,Cape Town,ZA,71.91,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
61,Puerto Ayora,EC,78.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
64,Charleston,US,69.12,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
66,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
70,Bredasdorp,ZA,65.17,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
76,Port Alfred,ZA,66.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
78,Carutapera,BR,77.38,light rain,-1.195,-46.02,Lidera
80,Cabinda,AO,77.38,overcast clouds,-5.55,12.2,Hotel Maiombe
84,Shingu,JP,69.17,broken clouds,33.7333,135.9833,Shingu UI Hotel
85,Carnarvon,AU,66.27,few clouds,-24.8667,113.6333,Hospitality Carnarvon
88,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Alta Floresta,BR,73.94,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
94,Nova Olinda Do Norte,BR,74.84,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
100,Kendari,ID,79.88,overcast clouds,-3.945,122.4989,Hotel Wixel
103,Itarema,BR,78.19,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
110,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
115,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
116,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
117,Domoni,KM,79.45,light rain,-12.2569,44.5319,Al Djadid
118,Byron Bay,AU,77.7,few clouds,-28.65,153.6167,Backpackers Inn
120,Hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
123,East London,ZA,66.02,light rain,-33.0153,27.9116,Tu Casa
125,Karachi,PK,76.82,scattered clouds,24.9056,67.0822,Sadaat
126,Havelock,US,66.18,clear sky,34.8791,-76.9013,Sherwood Motel
128,Ballina,AU,77.77,few clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
132,Palora,EC,66.79,light rain,-1.7,-77.9333,Rancho grande
136,Japura,ID,75.04,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
139,Muisne,EC,76.64,overcast clouds,0.6,-80.0333,Quinta Samay
140,Laje,BR,76.21,light rain,-10.1833,-40.9667,NN Pousada
141,Kollegal,IN,73.17,overcast clouds,12.15,77.1167,MK Restaurant
143,Quatre Cocos,MU,74.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
148,Katsuura,JP,65.97,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
151,Guerrero Negro,MX,65.28,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
153,Antalaha,MG,74.79,light rain,-14.9003,50.2788,Hotel Vitasoa
155,Tamiahua,MX,78.66,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
157,Dingle,PH,73.87,light rain,10.9995,122.6711,SEGAYA PROPERTY
162,Marsh Harbour,BS,71.06,clear sky,26.5412,-77.0636,Abaco Beach Resort
170,Nago,JP,77.43,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
171,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
174,Acajutiba,BR,71.96,light rain,-11.6622,-38.0172,Recanto Da Lucinha
177,Cidreira,BR,69.62,overcast clouds,-30.1811,-50.2056,Hotel Castelo
178,Victoria,HK,78.85,clear sky,22.2855,114.1577,Mini Hotel Central
179,Brasilia,BR,72.52,broken clouds,-15.7797,-47.9297,Sia Park Executive Hotel - Uma empresa Brasal
184,Ahipara,NZ,66.33,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
189,Conde,BR,76.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
200,Keti Bandar,PK,79.18,overcast clouds,24.1447,67.4497,Haji laloo memon house
202,Omboue,GA,77.59,broken clouds,-1.5746,9.2618,Hotel Olako
203,Pathein,MM,77.4,scattered clouds,16.7833,94.7333,Pathein Hotel
207,Pilar,BR,73.33,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
209,Pangkalanbuun,ID,76.42,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
210,Sinnamary,GF,77.36,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
211,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
215,Road Town,VG,77.09,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
216,Xuddur,SO,75.9,broken clouds,4.1213,43.8894,Banjanay Hotel
217,Bengkulu,ID,75.11,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
220,Meulaboh,ID,75.33,scattered clouds,4.1363,96.1285,Kost Pria
223,Bubaque,GW,74.95,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
226,Marang,MY,76.91,broken clouds,5.2056,103.2059,DBarakah Homestay
229,Bagaha,IN,75.88,few clouds,27.1,84.0833,Hotel The Royal Residency
234,Pemangkat,ID,78.98,overcast clouds,1.1667,108.9667,Ramah Kost KITA
236,Batticaloa,LK,78.15,overcast clouds,7.7102,81.6924,Grand Star Guest House
242,Candeias,BR,66.99,few clouds,-20.7676,-45.2764,Hotel Avenida
247,Rio Grande,BR,66.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
250,Belawan,ID,75.49,overcast clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
251,Presidencia Roque Saenz Pena,AR,68.97,overcast clouds,-26.7852,-60.4388,Hotel Gualok
256,Namibe,AO,77.14,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
257,San Lorenzo,PY,67.59,thunderstorm with light rain,-25.3333,-57.5333,Canarias Hotel
264,Yenagoa,NG,77.0,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
268,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
269,Vao,NC,77.07,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
270,Zamora,EC,69.35,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
271,Changde,CN,75.74,overcast clouds,29.0464,111.6783,Kangshida Hotel
277,Sabha,LY,68.61,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
