City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Saldanha,ZA,-33.0117,17.9442,65.88,59,0,6.8,clear sky
1,Amapa,BR,1.0,-52.0,73.18,98,94,3.65,heavy intensity rain
2,Yellowknife,CA,62.456,-114.3525,15.57,56,93,15.99,overcast clouds
3,Pyaozerskiy,RU,65.8333,31.1667,31.23,88,93,10.87,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,79.21,71,1,15.01,clear sky
5,Kapaa,US,22.0752,-159.319,84.18,72,0,10.36,clear sky
6,Mataura,NZ,-46.1927,168.8643,54.48,92,98,6.29,overcast clouds
7,Saskylakh,RU,71.9167,114.0833,-3.66,98,100,2.35,overcast clouds
8,Dawson Creek,CA,55.7666,-120.2362,19.04,63,100,13.8,overcast clouds
9,Beidao,CN,34.5686,105.8933,48.97,72,100,1.21,overcast clouds
10,Hilo,US,19.7297,-155.09,86.29,90,100,6.91,light rain
11,Vyatskiye Polyany,RU,56.226,51.0656,33.33,99,72,3.49,broken clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,66,0,4.61,clear sky
13,Ushuaia,AR,-54.8,-68.3,40.66,81,0,3.44,clear sky
14,Labuhan,ID,-6.8844,112.2051,78.62,83,40,5.08,scattered clouds
15,Tilichiki,RU,60.4667,166.1,9.39,83,100,13.31,overcast clouds
16,Port Elizabeth,ZA,-33.918,25.5701,65.32,91,0,9.22,clear sky
17,Barrow,US,71.2906,-156.7887,23.02,86,0,10.36,clear sky
18,Oksfjord,NO,70.2396,22.3479,34.0,98,100,10.8,light snow
19,Souillac,MU,-20.5167,57.5167,75.58,83,40,8.05,scattered clouds
20,Nanortalik,GL,60.1432,-45.2371,31.78,74,100,9.66,overcast clouds
21,Atuona,PF,-9.8,-139.0333,78.71,79,27,13.67,scattered clouds
22,Norman Wells,CA,65.282,-126.8329,15.84,41,20,19.57,few clouds
23,Dikson,RU,73.5069,80.5464,11.37,93,100,23.62,snow
24,Tiksi,RU,71.6872,128.8694,-1.55,95,100,6.73,overcast clouds
25,Tasiilaq,GL,65.6145,-37.6368,15.96,87,100,4.97,overcast clouds
26,Albany,US,42.6001,-73.9662,56.05,47,92,4.34,overcast clouds
27,Chuy,UY,-33.6971,-53.4616,67.37,93,54,5.46,broken clouds
28,Sambava,MG,-14.2667,50.1667,74.79,87,77,13.44,broken clouds
29,Kathu,TH,7.9178,98.3332,86.76,84,60,6.49,broken clouds
30,Ribeira Grande,PT,38.5167,-28.7,61.0,92,100,12.3,overcast clouds
31,Butaritari,KI,3.0707,172.7902,81.16,74,39,10.45,scattered clouds
32,Kaitangata,NZ,-46.2817,169.8464,50.86,87,100,8.9,overcast clouds
33,Fortuna,US,40.5982,-124.1573,49.66,74,100,11.5,overcast clouds
34,Tucurui,BR,-3.7661,-49.6725,75.07,97,98,2.75,overcast clouds
35,Tottori,JP,35.5,134.2333,73.47,53,20,5.75,few clouds
36,Kavieng,PG,-2.5744,150.7967,85.12,65,41,8.14,scattered clouds
37,Olga,RU,43.7444,135.2892,46.89,80,100,2.68,moderate rain
38,Bilibino,RU,68.0546,166.4372,-4.45,77,44,1.54,scattered clouds
39,Sitka,US,57.0531,-135.33,37.29,20,20,13.8,few clouds
40,Saint George,US,37.1041,-113.5841,76.62,18,0,40.29,haze
41,Oussouye,SN,12.485,-16.5469,71.78,76,3,8.61,clear sky
42,Hermanus,ZA,-34.4187,19.2345,66.97,61,5,5.91,clear sky
43,Arraial Do Cabo,BR,-22.9661,-42.0278,77.13,78,9,12.5,clear sky
44,Kavaratti,IN,10.5669,72.642,83.66,73,54,8.05,broken clouds
45,Sao Filipe,CV,14.8961,-24.4956,71.49,74,82,12.33,broken clouds
46,Tandil,AR,-37.3217,-59.1332,49.68,92,62,5.03,broken clouds
47,Imbituba,BR,-28.24,-48.6703,72.82,95,100,10.83,overcast clouds
48,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
49,Jamestown,US,42.097,-79.2353,54.99,70,100,6.91,light rain
