City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Plettenberg Bay,ZA,2022-04-06 23:09:52,-34.0527,23.3716,56.98,78,67,15.88
1,Port Hedland,AU,2022-04-06 23:09:52,-20.3167,118.5667,80.65,74,7,8.05
2,Barra Patuca,HN,2022-04-06 23:09:52,15.8,-84.2833,82.0,76,59,18.45
3,Atuona,PF,2022-04-06 23:09:53,-9.8,-139.0333,79.38,75,11,15.5
4,Pisco,PE,2022-04-06 23:09:53,-13.7,-76.2167,68.05,83,0,23.02
5,Hilo,US,2022-04-06 23:09:53,19.7297,-155.09,73.13,85,100,3.44
6,Ola,RU,2022-04-06 23:09:54,59.5833,151.2833,26.15,71,100,24.52
7,Kaitangata,NZ,2022-04-06 23:09:54,-46.2817,169.8464,51.35,59,96,6.58
8,Albany,US,2022-04-06 23:06:22,42.6001,-73.9662,54.01,83,100,3.8
9,Kodiak,US,2022-04-06 23:06:18,57.79,-152.4072,38.71,81,100,12.66
10,Deputatskiy,RU,2022-04-06 23:09:54,69.3,139.9,-13.18,100,100,4.12
11,Horsham,GB,2022-04-06 23:09:55,51.064,-0.3272,51.44,87,75,13.8
12,Samoded,RU,2022-04-06 23:09:55,63.6083,40.5111,17.71,95,67,4.38
13,Saskylakh,RU,2022-04-06 23:09:55,71.9167,114.0833,-16.65,99,72,5.95
14,Chicama,PE,2022-04-06 23:09:56,-7.8447,-79.1469,64.94,72,62,10.42
15,Cape Town,ZA,2022-04-06 23:06:27,-33.9258,18.4232,58.91,76,99,3.0
16,Punta Arenas,CL,2022-04-06 23:08:32,-53.15,-70.9167,44.11,65,0,5.75
17,Hermanus,ZA,2022-04-06 23:09:56,-34.4187,19.2345,52.81,67,98,9.64
18,Beringovskiy,RU,2022-04-06 23:09:56,63.05,179.3167,0.72,76,17,5.53
19,Thompson,CA,2022-04-06 23:09:56,55.7435,-97.8558,32.16,93,100,12.66
20,Atar,MR,2022-04-06 23:09:57,20.5169,-13.0499,76.35,22,5,12.5
21,Mut,TR,2022-04-06 23:09:57,36.6439,33.4389,62.87,49,0,5.5
22,Sinnamary,GF,2022-04-06 23:09:57,5.3833,-52.95,77.14,88,67,12.17
23,Lagoa,PT,2022-04-06 23:09:58,39.05,-27.9833,60.89,86,100,25.88
24,Sao Joao Da Barra,BR,2022-04-06 23:09:58,-21.6403,-41.0511,75.88,83,40,9.48
25,Rikitea,PF,2022-04-06 23:09:58,-23.1203,-134.9692,78.75,69,56,10.87
26,Skjervoy,NO,2022-04-06 23:09:59,70.0311,20.9714,30.2,72,99,14.2
27,Vaini,TO,2022-04-06 23:05:09,-21.2,-175.2,84.36,79,75,8.05
28,Hobart,AU,2022-04-06 23:09:59,-42.8794,147.3294,60.26,74,20,8.05
29,Salalah,OM,2022-04-06 23:05:15,17.0151,54.0924,78.89,73,0,2.3
30,Manhattan,US,2022-04-06 23:09:59,40.7834,-73.9662,52.63,85,100,15.01
31,Barrow,US,2022-04-06 23:10:00,71.2906,-156.7887,-7.58,71,0,9.22
32,Panaba,MX,2022-04-06 23:10:00,21.2833,-88.2667,96.31,33,1,18.1
33,Cherskiy,RU,2022-04-06 23:10:01,68.75,161.3,-9.63,92,96,3.29
34,Castro,BR,2022-04-06 23:10:01,-24.7911,-50.0119,64.38,93,46,2.35
35,Khatanga,RU,2022-04-06 23:10:02,71.9667,102.5,12.47,83,100,17.9
36,Avarua,CK,2022-04-06 23:08:53,-21.2078,-159.775,84.25,79,40,16.11
37,Chokurdakh,RU,2022-04-06 23:06:26,70.6333,147.9167,-10.64,91,11,3.04
38,Mar Del Plata,AR,2022-04-06 23:10:03,-38.0023,-57.5575,69.94,74,0,9.22
39,Maceio,BR,2022-04-06 23:10:03,-9.6658,-35.7353,74.64,88,40,3.44
40,Qaanaaq,GL,2022-04-06 23:10:03,77.484,-69.3632,5.16,94,99,4.68
41,Westport,US,2022-04-06 23:10:04,41.1415,-73.3579,51.62,89,100,11.5
42,Ushuaia,AR,2022-04-06 23:07:44,-54.8,-68.3,40.66,70,40,21.85
43,Bluff,NZ,2022-04-06 23:10:04,-46.6,168.3333,51.94,56,65,7.23
44,Tiksi,RU,2022-04-06 23:10:05,71.6872,128.8694,-13.27,100,100,3.65
45,Torbay,CA,2022-04-06 23:10:05,47.6666,-52.7314,38.28,89,100,19.57
46,Jamestown,US,2022-04-06 23:11:06,42.097,-79.2353,56.84,59,100,12.66
47,Wanning,CN,2022-04-06 23:11:06,18.8003,110.3967,67.08,77,54,6.31
48,Ahipara,NZ,2022-04-06 23:09:33,-35.1667,173.1667,67.64,59,40,13.6
49,Tasiilaq,GL,2022-04-06 23:11:07,65.6145,-37.6368,24.96,95,82,5.12
50,Buchanan,LR,2022-04-06 23:11:07,5.8808,-10.0467,78.84,88,62,5.28
51,Kahului,US,2022-04-06 23:11:07,20.8947,-156.47,84.22,45,40,19.57
52,Saint George,US,2022-04-06 23:06:31,37.1041,-113.5841,72.43,11,0,4.61
53,Boca Do Acre,BR,2022-04-06 23:11:08,-8.7522,-67.3978,76.23,97,81,1.59
